name,weather,Date,neighbour,ExportGWh,ImportGWh
Bez Sev.en a SUAS,WS13,2018-01-11,PL,0,18.047
Bez Sev.en a SUAS,WS13,2018-01-11,SK,0,25.494
Bez Sev.en a SUAS,WS13,2018-01-11,AT,2.394,12.348
Bez Sev.en a SUAS,WS13,2018-01-11,DE,36,0
Bez Sev.en a SUAS,WS13,2018-01-12,PL,0,19.12
Bez Sev.en a SUAS,WS13,2018-01-12,SK,0,16.355
Bez Sev.en a SUAS,WS13,2018-01-12,AT,1.911,14.558
Bez Sev.en a SUAS,WS13,2018-01-12,DE,28.5,0
Bez Sev.en a SUAS,WS13,2018-01-13,PL,0,9.583
Bez Sev.en a SUAS,WS13,2018-01-13,SK,0,12.083
Bez Sev.en a SUAS,WS13,2018-01-13,AT,0.354,7.434
Bez Sev.en a SUAS,WS13,2018-01-13,DE,31.472,0
Bez Sev.en a SUAS,WS13,2018-01-14,PL,0,2.446
Bez Sev.en a SUAS,WS13,2018-01-14,SK,0,13.387
Bez Sev.en a SUAS,WS13,2018-01-14,AT,0,8.589
Bez Sev.en a SUAS,WS13,2018-01-14,DE,18.405,0.006
Bez Sev.en a SUAS,WS13,2018-01-15,PL,0,21.015
Bez Sev.en a SUAS,WS13,2018-01-15,SK,1.573,0.159
Bez Sev.en a SUAS,WS13,2018-01-15,AT,0.736,8.669
Bez Sev.en a SUAS,WS13,2018-01-15,DE,0,17.567
Bez Sev.en a SUAS,WS13,2018-01-16,PL,2.612,10.387
Bez Sev.en a SUAS,WS13,2018-01-16,SK,0.529,2.498
Bez Sev.en a SUAS,WS13,2018-01-16,AT,1.554,10.756
Bez Sev.en a SUAS,WS13,2018-01-16,DE,0,23.881
Bez Sev.en a SUAS,WS13,2018-01-17,PL,0,17.379
Bez Sev.en a SUAS,WS13,2018-01-17,SK,0.36,0
Bez Sev.en a SUAS,WS13,2018-01-17,AT,0.689,13.368
Bez Sev.en a SUAS,WS13,2018-01-17,DE,0,21.77
Bez Sev.en a SUAS,WS13,2018-01-18,PL,2.1,13.212
Bez Sev.en a SUAS,WS13,2018-01-18,SK,2.423,4.248
Bez Sev.en a SUAS,WS13,2018-01-18,AT,0,14.372
Bez Sev.en a SUAS,WS13,2018-01-18,DE,0,21.636
Bez Sev.en a SUAS,WS13,2018-01-19,PL,0,22.004
Bez Sev.en a SUAS,WS13,2018-01-19,SK,0.991,3.896
Bez Sev.en a SUAS,WS13,2018-01-19,AT,0,14.625
Bez Sev.en a SUAS,WS13,2018-01-19,DE,0,28.814
Bez Sev.en a SUAS,WS13,2018-01-20,PL,0,17.636
Bez Sev.en a SUAS,WS13,2018-01-20,SK,0,0.071
Bez Sev.en a SUAS,WS13,2018-01-20,AT,0,12.318
Bez Sev.en a SUAS,WS13,2018-01-20,DE,0,29.079
Bez Sev.en a SUAS,WS13,2018-01-21,PL,0,20.916
Bez Sev.en a SUAS,WS13,2018-01-21,SK,0.078,3.46
Bez Sev.en a SUAS,WS13,2018-01-21,AT,0,10.482
Bez Sev.en a SUAS,WS13,2018-01-21,DE,0,31.139
Stresový,WS13,2018-01-08,PL,0,22.073
Stresový,WS13,2018-01-08,SK,0,28.028
Stresový,WS13,2018-01-08,AT,1.436,13.215
Stresový,WS13,2018-01-08,DE,31.145,0
Stresový,WS13,2018-01-09,PL,1.426,13.96
Stresový,WS13,2018-01-09,SK,0,37.288
Stresový,WS13,2018-01-09,AT,3.137,16.739
Stresový,WS13,2018-01-09,DE,35.776,0
Stresový,WS13,2018-01-10,PL,2.371,2.405
Stresový,WS13,2018-01-10,SK,0,33.516
Stresový,WS13,2018-01-10,AT,0.228,16.608
Stresový,WS13,2018-01-10,DE,19.754,0
Stresový,WS13,2018-01-11,PL,0.303,4.331
Stresový,WS13,2018-01-11,SK,0,30.498
Stresový,WS13,2018-01-11,AT,2.314,13.633
Stresový,WS13,2018-01-11,DE,19.242,0
Stresový,WS13,2018-01-12,PL,1.315,3.489
