name,region,week,Demand,Price
Základní,ES,22,5.031,70.612
Základní,ES,23,5.075,57.625
Základní,ES,24,4.916,62.699
Základní,ES,25,5.171,65.903
Základní,ES,26,5.702,74.728
Základní,ES,27,5.282,66.468
Základní,ES,28,5.505,75.491
Základní,ES,29,6.35,83.166
Základní,ES,30,6.017,79.26
Základní,ES,31,5.183,66.745
Základní,ES,32,5.408,75.529
Základní,ES,33,5.492,74.217
Základní,ES,34,5.006,72.546
Základní,ES,35,5.282,77.243
Základní,ES,36,5.27,78.661
Základní,ES,37,5.048,80.174
Základní,ES,38,5.014,70.03
Základní,ES,39,4.98,78.125
Základní,ES,40,4.9,60.279
Základní,ES,41,4.797,81.526
Základní,ES,42,4.891,77.728
Základní,ES,43,4.886,78.642
Základní,ES,44,4.817,78.72
Základní,ES,45,5.168,81.499
Základní,ES,46,5.207,82.293
Základní,ES,47,5.138,79.288
Základní,ES,48,5.257,79.293
Základní,ES,49,5.277,84.103
Základní,ES,50,5.342,78.089
Základní,ES,51,5.521,78.197
Základní,ES,52,4.966,58.601
Základní,FI,1,2.597,107.27
Základní,FI,2,2.202,102.494
Základní,FI,3,2.128,103.469
Základní,FI,4,2.04,97.147
Základní,FI,5,2.099,94.431
Základní,FI,6,2.179,103.698
Základní,FI,7,2.104,104.63
Základní,FI,8,2.054,102.197
Základní,FI,9,2.058,95.11
Základní,FI,10,2.032,102.584
Základní,FI,11,2.01,102.646
Základní,FI,12,2.002,99.534
Základní,FI,13,1.951,101.417
Základní,FI,14,1.983,96.9
Základní,FI,15,1.98,94.495
Základní,FI,16,1.937,97.105
Základní,FI,17,1.818,94.511
Základní,FI,18,1.763,88.407
Základní,FI,19,1.759,97.648
Základní,FI,20,1.683,64.55
Základní,FI,21,1.595,51.197
Základní,FI,22,1.606,42.163
Základní,FI,23,1.608,39.294
Základní,FI,24,1.558,48.497
Základní,FI,25,1.44,42.157
Základní,FI,26,1.515,57.545
Základní,FI,27,1.532,59.513
Základní,FI,28,1.517,83.283
Základní,FI,29,1.508,86.613
Základní,FI,30,1.506,92.482
Základní,FI,31,1.541,73.517
Základní,FI,32,1.56,97.649
Základní,FI,33,1.568,88.971
Základní,FI,34,1.566,97.012
Základní,FI,35,1.593,86.412
Základní,FI,36,1.609,79.426
Základní,FI,37,1.6,93.799
Základní,FI,38,1.64,88.218
Základní,FI,39,1.739,75.965
Základní,FI,40,1.764,50.465
Základní,FI,41,1.743,96.042
Základní,FI,42,1.863,81.878
Základní,FI,43,1.919,100.519
Základní,FI,44,2.014,106.523
Základní,FI,45,2.065,105.899
Základní,FI,46,1.988,95.404
Základní,FI,47,1.999,86.73
Základní,FI,48,2.091,110.013
Základní,FI,49,2.158,101.182
Základní,FI,50,2.121,104.139
Základní,FI,51,2.071,99.738
Základní,FI,52,1.932,83.43
Základní,FR,1,13.011,73.933
Základní,FR,2,10.994,64.019
Základní,FR,3,10.618,61.124
Základní,FR,4,11.351,83.698
Základní,FR,5,13.849,96.22
Základní,FR,6,12.628,85.529
Základní,FR,7,13.001,88.249
Základní,FR,8,11.003,67.303
Základní,FR,9,10.084,54.619
Základní,FR,10,9.614,48.547
Základní,FR,11,10.563,74.294
Základní,FR,12,11.513,83.733
Základní,FR,13,9.452,72.699
Základní,FR,14,8.98,73.912
Základní,FR,15,10.255,82.822
Základní,FR,16,10.295,72.094
Základní,FR,17,9.285,63.535
Základní,FR,18,9.137,54.134
Základní,FR,19,8.479,65.814
Základní,FR,20,8.225,57.745
Základní,FR,21,8.098,56.909
Základní,FR,22,8.395,61.415
Základní,FR,23,7.897,25.262
Základní,FR,24,7.738,58.152
Základní,FR,25,7.91,56.481
Základní,FR,26,9.124,70.057
Základní,FR,27,8.446,63.549
Základní,FR,28,9.325,75.178
Základní,FR,29,9.052,77.563
Základní,FR,30,8.368,72.037
Základní,FR,31,7.446,63.047
Základní,FR,32,8.192,66.072
Základní,FR,33,8.282,65.747
Základní,FR,34,7.367,78.091
Základní,FR,35,8.417,78.891
Základní,FR,36,8.892,71.593
Základní,FR,37,7.954,68.902
Základní,FR,38,7.937,68.584
Základní,FR,39,8.114,77.846
Základní,FR,40,8.459,42.397
Základní,FR,41,8.246,75.882
Základní,FR,42,8.217,70.999
Základní,FR,43,8.686,77.824
Základní,FR,44,8.932,80.598
Základní,FR,45,10.505,83.527
Základní,FR,46,10.064,84.872
Základní,FR,47,10.457,75.184
Základní,FR,48,11.285,79.477
Základní,FR,49,11.26,82.679
Základní,FR,50,11.247,73.509
Základní,FR,51,11.452,75.92
Základní,FR,52,11.267,58.208
Základní,GB,1,8.062,78.445
Základní,GB,2,6.887,59.631
Základní,GB,3,6.752,63.689
Základní,GB,4,7.071,83.474
Základní,GB,5,7.861,92
Základní,GB,6,8.183,85.73
Základní,GB,7,8.424,91.548
Základní,GB,8,7.458,75.502
Základní,GB,9,7.421,75.375
Základní,GB,10,6.5,55.819
Základní,GB,11,6.936,83.219
Základní,GB,12,7.225,84.631
Základní,GB,13,6.475,77.428
Základní,GB,14,5.832,78.651
Základní,GB,15,6.342,83.921
Základní,GB,16,6.375,77.714
Základní,GB,17,6.11,75.454
Základní,GB,18,5.702,47.427
Základní,GB,19,5.529,77.524
Základní,GB,20,5.195,55.924
Základní,GB,21,4.971,72.032
Základní,GB,22,4.966,72.38
Základní,GB,23,4.996,29.231
Základní,GB,24,5.063,56.593
Základní,GB,25,5.027,45.138
Základní,GB,26,4.981,60.079
Základní,GB,27,5.001,75.132
Základní,GB,28,4.958,75.419
Základní,GB,29,5.375,83.975
Základní,GB,30,5.271,76.75
Základní,GB,31,5.176,72.916
Základní,GB,32,4.969,63.749
Základní,GB,33,5.11,59.924
Základní,GB,34,5.267,82.857
Základní,GB,35,5.123,81.753
Základní,GB,36,5.354,74.258
Základní,GB,37,5.342,67.394
Základní,GB,38,5.44,81.998
Základní,GB,39,5.441,82.708
Základní,GB,40,5.828,45.286
Základní,GB,41,5.809,60.842
Základní,GB,42,5.788,75.226
Základní,GB,43,5.997,81.526
Základní,GB,44,6.4,83.664
Základní,GB,45,6.718,74.309
Základní,GB,46,6.626,78.556
Základní,GB,47,6.792,74.996
Základní,GB,48,7.081,80.291
Základní,GB,49,6.978,71.061
Základní,GB,50,7.096,83.241
Základní,GB,51,7.243,79.952
Základní,GB,52,7.132,73.503
Základní,GR,1,1.19,82.156
Základní,GR,2,1.121,85.079
Základní,GR,3,1.04,84.976
Základní,GR,4,1.206,84.764
Základní,GR,5,1.189,84.961
Základní,GR,6,1.067,83.622
Základní,GR,7,0.994,80.213
Základní,GR,8,0.941,73.804
Základní,GR,9,0.938,70.273
Základní,GR,10,0.91,64.759
Základní,GR,11,0.981,80.823
Základní,GR,12,0.965,72.629
Základní,GR,13,0.907,66.891
Základní,GR,14,0.849,64.543
Základní,GR,15,0.937,65.46
Základní,GR,16,0.911,59.561
Základní,GR,17,0.903,58.552
Základní,GR,18,0.892,72.571
Základní,GR,19,0.912,75.932
Základní,GR,20,0.909,72.388
Základní,GR,21,0.9,60.913
Základní,GR,22,0.938,68.203
Základní,GR,23,1.029,59.978
Základní,GR,24,1.228,77.336
Základní,GR,25,1.366,75.715
Základní,GR,26,1.29,76.626
Základní,GR,27,1.244,75.862
Základní,GR,28,1.152,79.956
Základní,GR,29,1.401,82.42
Základní,GR,30,1.357,81.087
Základní,GR,31,1.382,76.867
Základní,GR,32,1.15,64.453
Základní,GR,33,1.071,75.839
Základní,GR,34,1.195,80.189
Základní,GR,35,0.972,68.74
Základní,GR,36,0.981,78.277
Základní,GR,37,1.01,76.798
Základní,GR,38,0.981,80.579
Základní,GR,39,0.957,80.727
Základní,GR,40,1.014,78.269
Základní,GR,41,0.959,77.392
Základní,GR,42,0.946,83.701
Základní,GR,43,0.938,82.562
Základní,GR,44,0.946,84.183
Základní,GR,45,0.982,83.657
Základní,GR,46,1.005,84.278
Základní,GR,47,1.046,80
Základní,GR,48,1.129,83.818
Základní,GR,49,1.143,84.98
Základní,GR,50,1.09,82.451
Základní,GR,51,1.078,83.733
Základní,GR,52,1.015,84.565
Základní,HR,1,0.36,93.107
Základní,HR,2,0.329,99.509
Základní,HR,3,0.317,97.43
Základní,HR,4,0.34,105.85
Základní,HR,5,0.389,102.553
Základní,HR,6,0.359,95.037
Základní,HR,7,0.322,98.136
Základní,HR,8,0.308,82.041
Základní,HR,9,0.298,83.838
Základní,HR,10,0.291,75.023
Základní,HR,11,0.324,88.831
Základní,HR,12,0.319,86.35
Základní,HR,13,0.283,77.992
Základní,HR,14,0.282,81.114
Základní,HR,15,0.305,80.038
Základní,HR,16,0.299,76.254
Základní,HR,17,0.283,70.438
Základní,HR,18,0.278,75.335
Základní,HR,19,0.284,80.354
Základní,HR,20,0.283,73.26
Základní,HR,21,0.279,64.235
Základní,HR,22,0.281,72.536
Základní,HR,23,0.296,64.623
Základní,HR,24,0.324,77.841
Základní,HR,25,0.316,71.692
Základní,HR,26,0.361,83.948
Základní,HR,27,0.325,77.39
Základní,HR,28,0.335,81.015
Základní,HR,29,0.371,82.353
Základní,HR,30,0.328,81.927
Základní,HR,31,0.325,76.561
Základní,HR,32,0.32,73.84
Základní,HR,33,0.314,78.37
Základní,HR,34,0.303,82.949
Základní,HR,35,0.29,76.906
Základní,HR,36,0.294,78.543
Základní,HR,37,0.291,82.059
Základní,HR,38,0.294,84.175
Základní,HR,39,0.291,83.834
Základní,HR,40,0.289,81.944
Základní,HR,41,0.28,83.844
Základní,HR,42,0.287,88.517
Základní,HR,43,0.294,88.757
Základní,HR,44,0.308,92.489
Základní,HR,45,0.33,94.321
Základní,HR,46,0.335,98.732
Základní,HR,47,0.327,92.415
Základní,HR,48,0.346,96.834
Základní,HR,49,0.347,97.935
Základní,HR,50,0.336,92.57
Základní,HR,51,0.331,92.907
Základní,HR,52,0.329,87.972
Základní,HU,1,1.101,97.745
Základní,HU,2,1.047,103.248
Základní,HU,3,1.03,100.596
Základní,HU,4,1.07,109.663
Základní,HU,5,1.117,108.697
Základní,HU,6,1.052,98.968
Základní,HU,7,1.008,104.394
Základní,HU,8,0.992,85.101
Základní,HU,9,0.967,86.121
Základní,HU,10,0.981,77.77
Základní,HU,11,0.984,95.303
Základní,HU,12,0.995,89.946
Základní,HU,13,0.89,79.475
Základní,HU,14,0.925,82.14
Základní,HU,15,0.99,82.5
Základní,HU,16,0.968,79.303
Základní,HU,17,0.932,69.698
Základní,HU,18,0.892,77.278
Základní,HU,19,0.942,81.79
Základní,HU,20,0.923,74.843
Základní,HU,21,0.899,65.114
Základní,HU,22,0.925,73.471
Základní,HU,23,0.937,64.584
Základní,HU,24,0.967,77.71
Základní,HU,25,0.948,71.575
Základní,HU,26,1.058,83.206
Základní,HU,27,0.948,78.048
Základní,HU,28,0.991,81.53
Základní,HU,29,1.003,82.761
Základní,HU,30,0.95,82.54
Základní,HU,31,0.959,73.81
Základní,HU,32,0.946,74.479
Základní,HU,33,0.947,78.843
Základní,HU,34,0.908,84.305
Základní,HU,35,0.932,77.321
Základní,HU,36,0.937,78.938
Základní,HU,37,0.936,83.051
