data_version,YEAR,MARKET_NODE,Category,Value
ERAA 2025 final,2030,PL00,FCR,200
ERAA 2025 final,2030,PL00,FRR,1000
ERAA 2025 final,2030,PT00,FCR,53
ERAA 2025 final,2030,PT00,FRR,1650
ERAA 2025 final,2030,RO00,FCR,60
ERAA 2025 final,2030,RO00,FRR,1850
ERAA 2025 final,2030,RS00,FCR,34
ERAA 2025 final,2030,RS00,FRR,1614.311
ERAA 2025 final,2030,SE01,FCR,322
ERAA 2025 final,2030,SE01,FRR,147
ERAA 2025 final,2030,SE02,FCR,403
ERAA 2025 final,2030,SE02,FRR,174
ERAA 2025 final,2030,SE03,FCR,64
ERAA 2025 final,2030,SE03,FRR,324
ERAA 2025 final,2030,SE04,FRR,356
ERAA 2025 final,2030,SI00,FCR,38
ERAA 2025 final,2030,SI00,FRR,150
ERAA 2025 final,2030,SK00,FCR,15
ERAA 2025 final,2030,SK00,FRR,773
ERAA 2025 final,2030,UKNI,FRR,175
ERAA 2025 pre-CfE,2030,AL00,FCR,8
ERAA 2025 pre-CfE,2030,AL00,FRR,150
ERAA 2025 pre-CfE,2030,AT00,FCR,64.998
ERAA 2025 pre-CfE,2030,AT00,FRR,479.998
ERAA 2025 pre-CfE,2030,CY00,FCR,30
ERAA 2025 pre-CfE,2030,CY00,FRR,10
ERAA 2025 pre-CfE,2030,CZ00,FCR,22
ERAA 2025 pre-CfE,2030,CZ00,FRR,962
ERAA 2025 pre-CfE,2030,DE00,FCR,564
ERAA 2025 pre-CfE,2030,DE00,FRR,2550
ERAA 2025 pre-CfE,2030,DKE1,FCR,75
ERAA 2025 pre-CfE,2030,DKE1,FRR,550
ERAA 2025 pre-CfE,2030,DKW1,FCR,25
ERAA 2025 pre-CfE,2030,DKW1,FRR,550
ERAA 2025 pre-CfE,2030,EE00,FCR,12
ERAA 2025 pre-CfE,2030,EE00,FRR,346
ERAA 2025 pre-CfE,2030,ES00,FCR,400
ERAA 2025 pre-CfE,2030,ES00,FRR,6999.999
ERAA 2025 pre-CfE,2030,FI00,FCR,325
ERAA 2025 pre-CfE,2030,FI00,FRR,1658.999
ERAA 2025 pre-CfE,2030,FR00,FRR,2100
ERAA 2025 pre-CfE,2030,GR00,FCR,40
ERAA 2025 pre-CfE,2030,GR00,FRR,1200
ERAA 2025 pre-CfE,2030,HU00,FCR,44
ERAA 2025 pre-CfE,2030,HU00,FRR,860
ERAA 2025 pre-CfE,2030,IE00,FRR,525
ERAA 2025 pre-CfE,2030,ITCA,FCR,43
ERAA 2025 pre-CfE,2030,ITCA,FRR,480
ERAA 2025 pre-CfE,2030,ITCN,FCR,53
ERAA 2025 pre-CfE,2030,ITCN,FRR,640
ERAA 2025 pre-CfE,2030,ITCS,FCR,80
ERAA 2025 pre-CfE,2030,ITCS,FRR,480
ERAA 2025 pre-CfE,2030,ITN1,FCR,276
ERAA 2025 pre-CfE,2030,ITN1,FRR,1290
ERAA 2025 pre-CfE,2030,ITS1,FCR,43
ERAA 2025 pre-CfE,2030,ITS1,FRR,480
ERAA 2025 pre-CfE,2030,ITSA,FCR,16
ERAA 2025 pre-CfE,2030,ITSA,FRR,301
ERAA 2025 pre-CfE,2030,ITSI,FCR,32
ERAA 2025 pre-CfE,2030,ITSI,FRR,1000
ERAA 2025 pre-CfE,2030,LT00,FCR,19
ERAA 2025 pre-CfE,2030,LT00,FRR,584
ERAA 2025 pre-CfE,2030,MK00,FCR,8
ERAA 2025 pre-CfE,2030,MK00,FRR,180
ERAA 2025 pre-CfE,2030,NL00,FCR,116
ERAA 2025 pre-CfE,2030,NL00,FRR,2000
ERAA 2025 pre-CfE,2030,PL00,FCR,200
ERAA 2025 pre-CfE,2030,PL00,FRR,1000
ERAA 2025 pre-CfE,2030,PT00,FCR,53
ERAA 2025 pre-CfE,2030,PT00,FRR,1650
ERAA 2025 pre-CfE,2030,RO00,FCR,60
ERAA 2025 pre-CfE,2030,RO00,FRR,750
ERAA 2025 pre-CfE,2030,RS00,FCR,34
ERAA 2025 pre-CfE,2030,RS00,FRR,1614.311
ERAA 2025 pre-CfE,2030,SE01,FCR,322
ERAA 2025 pre-CfE,2030,SE01,FRR,147
ERAA 2025 pre-CfE,2030,SE02,FCR,403
ERAA 2025 pre-CfE,2030,SE02,FRR,174
ERAA 2025 pre-CfE,2030,SE03,FCR,64
ERAA 2025 pre-CfE,2030,SE03,FRR,324
ERAA 2025 pre-CfE,2030,SE04,FRR,356
ERAA 2025 pre-CfE,2030,SI00,FCR,38
ERAA 2025 pre-CfE,2030,SI00,FRR,150
ERAA 2025 pre-CfE,2030,SK00,FCR,32
ERAA 2025 pre-CfE,2030,SK00,FRR,843
ERAA 2025 pre-CfE,2030,UKNI,FRR,175
ERAA 2025 final,2033,AL00,FCR,8
ERAA 2025 final,2033,AL00,FRR,152
ERAA 2025 final,2033,AT00,FCR,64.998
ERAA 2025 final,2033,AT00,FRR,479.998
ERAA 2025 final,2033,BE00,FCR,48
