MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
HU00,Out of market - for PV/battery dispatch optimization,221.5774802,620.4169444,2035,HU,ERAA 2025 final
IE00,Available on market,539,1610,2035,IE,ERAA 2025 final
ITCA,Available on market,898.8,6162.5,2035,IT,ERAA 2025 final
ITCN,Available on market,745.7,1819.35,2035,IT,ERAA 2025 final
ITCS,Available on market,2789.149,14382.276,2035,IT,ERAA 2025 final
ITN1,Available on market,5741.647,15413.87548,2035,IT,ERAA 2025 final
ITS1,Available on market,4031.199,29662.696,2035,IT,ERAA 2025 final
ITSA,Available on market,2818.6,17633.615,2035,IT,ERAA 2025 final
ITSI,Available on market,3413.298,24304.292,2035,IT,ERAA 2025 final
LT00,Available on market,1810,5175.7,2035,LT,ERAA 2025 final
LT00,Out of market - primary purpose other operational activities,200,200,2035,LT,ERAA 2025 final
LUG1,Out of market - for PV/battery dispatch optimization,37.5,37.5,2035,LU,ERAA 2025 final
LV00,Available on market,420,840,2035,LV,ERAA 2025 final
MK00,Available on market,80,320,2035,MK,ERAA 2025 final
MT00,Available on market,40,84,2035,MT,ERAA 2025 final
NL00,Available on market,21744,209418,2035,NL,ERAA 2025 final
PL00,Available on market,6110,26992,2035,PL,ERAA 2025 final
PT00,Available on market,2500,10000,2035,PT,ERAA 2025 final
RO00,Available on market,2000,4000,2035,RO,ERAA 2025 final
RS00,Available on market,622.49,1978.56,2035,RS,ERAA 2025 final
SE01,Available on market,50,20,2035,SE,ERAA 2025 final
SE02,Available on market,50,128,2035,SE,ERAA 2025 final
SE03,Available on market,50,1100,2035,SE,ERAA 2025 final
SE04,Available on market,50,753,2035,SE,ERAA 2025 final
SI00,Available on market,985.5833333,1774.05,2035,SI,ERAA 2025 final
SK00,Available on market,799,1723,2035,SK,ERAA 2025 final
UK00,Available on market,26280.16,46550.93,2035,UK,ERAA 2025 final
UKNI,Available on market,100,140,2035,UK,ERAA 2025 final
AT00,Available on market,916,1832,2028,AT,ERAA 2025 pre-CfE
AT00,Out of market - for PV/battery dispatch optimization,2619.988,5239.976,2028,AT,ERAA 2025 pre-CfE
BE00,Available on market,1156.62728,3925.25456,2028,BE,ERAA 2025 pre-CfE
BG00,Available on market,848.4,1820,2028,BG,ERAA 2025 pre-CfE
CH00,Out of market - for PV/battery dispatch optimization,2131,1060,2028,CH,ERAA 2025 pre-CfE
CY00,Available on market,160,400,2028,CY,ERAA 2025 pre-CfE
CZ00,Available on market,1255.99,2511.99,2028,CZ,ERAA 2025 pre-CfE
